Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
gltP	b4077	4294481	4295794	gltP	EG10405		Nac DNA-binding-site regulating gltP	DNA-binding transcriptional dual regulator Nac	ArgR-L-arginine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator Nac
eptB	b3546	3708784	3710475	eptB // eptB	EG12267	eptBp2 // eptBp		small regulatory RNA MgrR // small regulatory RNA ArcZ	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase sigma E factor // DNA-binding transcriptional dual regulator Lrp // small regulatory RNA ArcZ // small regulatory RNA MgrR	
ygbI	b2735	2860467	2861234	ygbI	G7416					
ptsI	b2416	2534066	2535793	ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr	EG10789	ptsHp // ptsHp1 // ptsHp2 // ptsHp3 // ptsHp5 // ptsHp4	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of ptsHp // Mlc DNA-binding-site 13 bases downstream of ptsHp // NagC DNA-binding-site 13 bases downstream of ptsHp // Cra DNA-binding-site 55.5 bases upstream of ptsHp1 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of ptsHp1	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor Mlc // DNA-binding transcriptional dual regulator NagC // DNA-binding transcriptional dual regulator Cra	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional repressor Mlc // DNA-binding transcriptional dual regulator NagC // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Cra	DNA-binding transcriptional dual regulator Cra // DNA-binding transcriptional dual regulator NagC // DNA-binding transcriptional repressor Mlc // CRP-cAMP DNA-binding transcriptional dual regulator
ymiB	b4672	1346796	1346900		G0-16673					
waaZ	b3624	3799345	3800196	rfaYZ // rfaZ-waaU // rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11426	waaYp // waaZp // waaQp // rirAp	MarA DNA-binding-site 43 bases upstream of waaYp // SoxS DNA-binding-site 42.5 bases upstream of waaYp // 	DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS // 	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS	DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS
hokB	b4428	1491922	1492071	hokB	G0-9610					
kdgR	b1827	1909308	1910099	kdgR	G7003		Nac DNA-binding-site regulating yebQ	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
yciZ	b4596	1344436	1344609	yciZT	G0-10591	yciZp			RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator Nac	
ydaG	b1355	1419322	1419456	ydaGF	G6679					
acrF	b3266	3415033	3418137	acrEF	EG10267	acrEp	H-NS DNA-binding-site regulating acrEp // Fnr DNA-binding-site regulating acrEp	DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator H-NS	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator FNR
waaU	b3623	3798239	3799312	rfaZ-waaU // rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11423	waaZp // waaQp // rirAp			RNA polymerase, sigma 70 (sigma D) factor	
paaX	b1399	1463539	1464489	paaXY	G6720	paaXp	PaaX DNA-binding-site 10.5 bases downstream of paaXp	DNA-binding transcriptional repressor PaaX	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor PaaX	DNA-binding transcriptional repressor PaaX
serA	b2913	3057178	3058410	serA // serA	EG10944	serAp2 // serAp1	Lrp-leu DNA-binding-site regulating serAp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of serAp2 // Nac DNA-binding-site 19 bases upstream of serAp1 // Nac DNA-binding-site 30 bases upstream of serAp1 // Lrp DNA-binding-site regulating serAp1	CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator Nac	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	Lrp-Leucine DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac // DNA-binding transcriptional dual regulator Lrp
ycjF	b1322	1385511	1386572	ycjXF-tyrR // ycjXF	EG12870	ycjXp // 	PgrR DNA-binding-site regulating ycjXp // 	DNA-binding transcriptional repressor PgrR // 	RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional repressor PgrR	DNA-binding transcriptional repressor PgrR
waaQ	b3632	3807064	3808098	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11341	waaQp // rirAp			RNA polymerase, sigma 70 (sigma D) factor	
gpr	b3001	3147897	3148937	yghZ	G7558					
dpiA	b0620	653862	654542	dpiBA // dpiBA	G6346	dpiBp2 // dpiBp1	DcuR-P DNA-binding-site 98 bases upstream of dpiBp2 // DcuR-P DNA-binding-site 37 bases upstream of dpiBp2 // NarL-Pasp59 DNA-binding-site 25 bases downstream of dpiBp2 // DpiA-Pasp57 DNA-binding-site 146 bases downstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 104 bases downstream of dpiBp1 // Fnr DNA-binding-site 11.5 bases downstream of citCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 11.5 bases downstream of citCp2 // NarL-Pasp59 DNA-binding-site 37 bases downstream of citCp2 // ArcA-Pasp54 DNA-binding-site 95.5 bases upstream of dpiBp1 // DpiA-Pasp57 DNA-binding-site 77 bases downstream of dpiBp1	DcuR-Phosphorylated DNA-binding transcriptional activator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // small regulatory RNA ChiX // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator	DcuR-Phosphorylated DNA-binding transcriptional activator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // small regulatory RNA ChiX // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL	DcuR-Phosphorylated DNA-binding transcriptional activator // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // Phosphorylated DNA-binding transcriptional dual regulator NarL // Phosphorylated DNA-binding transcriptional dual regulator ArcA // P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA
yaeF	b0193	216179	217003	yaeF	EG12138		Nac DNA-binding-site regulating yaeF	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
ymfD	b1137	1196867	1197532	ymfED	G6582					
gudP	b2789	2920748	2922100	gudPXD	G7447	gudPp	CdaR DNA-binding-site regulating gudPp	DNA-binding transcriptional activator CdaR	DNA-binding transcriptional activator CdaR	DNA-binding transcriptional activator CdaR
waaC	b3621	3795979	3796938	rfaDFCL // rfaDFCL // rfaDFCL // rfaDFCL	EG11189	rfaDp4 // rfaDp2 // rfaDp1 // rfaDp3			RNA polymerase sigma E factor // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor	
xylR	b3569	3734979	3736157	xylR // xylFGHR	EG20253	xylRp // xylFp	ArcA-Pasp54 DNA-binding-site regulating xylRp // Fis DNA-binding-site 75 bases upstream of xylFp // Fis DNA-binding-site 82 bases upstream of xylFp // Fis DNA-binding-site 22 bases downstream of xylFp // XylR-xylose DNA-binding-site 40.5 bases upstream of xylFp // XylR-xylose DNA-binding-site 61.5 bases upstream of xylFp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 180.5 bases upstream of xylFp	Phosphorylated DNA-binding transcriptional dual regulator ArcA // XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis	Phosphorylated DNA-binding transcriptional dual regulator ArcA // XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // Qin prophage; small regulatory RNA DicF	Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Fis // XylR-Xylose DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator
serB	b4388	4624895	4625863	serB // serB-radA	EG10945	 // serBp			DNA-binding transcriptional dual regulator Lrp	
yiiR	b3921	4112315	4112755	yiiR	EG11875					
gmhA	b0222	243543	244121	gmhA	G6106				OmpR-Phosphorylated DNA-binding transcriptional dual regulator	
pxpC	b0712	744243	745175	ybgIJKL-nei // ybgIJKL-nei	G6381	ybgIp2 // ybgIp1				
rutR	b1013	1074242	1074880	rutR // rutR	EG12301	rutRp2 // rutRp1	RutR DNA-binding-site 102.5 bases upstream of rutAp // 	DNA-binding transcriptional dual regulator RutR // 	DNA-binding transcriptional dual regulator RutR // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase sigma E factor	DNA-binding transcriptional dual regulator RutR
slyX	b3348	3477640	3477858	slyX	EG11664				DNA-binding transcriptional dual regulator Lrp	
sieB	b1353	1418671	1419159	sieB	EG12154					
yeaV	b1801	1883188	1884633	yeaVW	G6987					
rfaD	b3619	3793987	3794919	rfaDFCL // rfaDFCL // rfaDFCL // rfaDFCL	EG10838	rfaDp4 // rfaDp2 // rfaDp1 // rfaDp3			RNA polymerase sigma E factor // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor	
alpA	b2624	2758644	2758856	alpA	EG12112					
serC	b0907	957653	958741	serC // serC // serC-aroA	EG10946	serCp2 // serCp1	 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1 // Lrp DNA-binding-site 134 bases upstream of serCp1	 // DNA-binding transcriptional dual regulator Lrp // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Lrp
pdxI	b1406	1474221	1475081	pdxI	EG11309					
gmhB	b0200	222833	223408	gmhB	EG11736	gmhBp				
yeiG	b2154	2243910	2244746	yeiG	EG12026					
nikR	b3481	3618588	3618989	nikABCDER // nikABCDER // nikR	EG11519	nikAp2 // nikAp1 // nikRp	 // NikR DNA-binding-site 12.5 bases upstream of nikAp1 // NarL-Pasp59 DNA-binding-site regulating nikAp1 // Fnr DNA-binding-site 40.5 bases upstream of nikAp1	 // DNA-binding transcriptional dual regulator FNR // NikR-Ni DNA-binding transcriptional repressor // Phosphorylated DNA-binding transcriptional dual regulator NarL	RNA polymerase, sigma 54 (sigma N) factor // DNA-binding transcriptional dual regulator FNR // NikR-Ni DNA-binding transcriptional repressor // Phosphorylated DNA-binding transcriptional dual regulator NarL	NikR-Ni DNA-binding transcriptional repressor // Phosphorylated DNA-binding transcriptional dual regulator NarL // DNA-binding transcriptional dual regulator FNR
yaiA	b0389	406979	407170	aroL-yaiA-aroM // yaiA-aroM // aroL-yaiA-aroM	EG11093	aroLp2 // yaiAp // aroLp1	 // TrpR-trp DNA-binding-site 56.5 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 31 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 12 bases downstream of aroLp1 // TyrR-tyr DNA-binding-site 45 bases upstream of aroLp1 // TrpR-trp DNA-binding-site 48.5 bases downstream of aroLp1	 // ppGpp // TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // ppGpp // TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor	TyrR-Tyrosine DNA-binding transcriptional repressor // TrpR-Tryptophan DNA-binding transcriptional repressor
hokD	b1562	1645119	1645274	relBE-hokD // hokD	EG11130	relBp // 	RelBE DNA-binding-site 13.5 bases downstream of relBp // RelBE DNA-binding-site 1.5 bases downstream of relBp // RelBE DNA-binding-site 28 bases downstream of relBp // RelBE DNA-binding-site 13.5 bases upstream of relBp // RelB DNA-binding-site 13.5 bases downstream of relBp // RelB DNA-binding-site 1.5 bases downstream of relBp // 	RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB // 	RNA polymerase, sigma 70 (sigma D) factor // RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
puuP	b1296	1357802	1359187	puuAP // puuP	G6643	puuAp // puuPp	PuuR DNA-binding-site 161.5 bases upstream of puuAp // PuuR DNA-binding-site 126.5 bases upstream of puuAp // PuuR DNA-binding-site 84.5 bases upstream of puuAp // PuuR DNA-binding-site 11.5 bases downstream of puuAp // Fnr DNA-binding-site 29 bases downstream of puuAp // ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp // 	DNA-binding transcriptional repressor PuuR // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA // 	RNA polymerase, sigma 54 (sigma N) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional repressor PuuR // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA	DNA-binding transcriptional repressor PuuR // DNA-binding transcriptional dual regulator FNR // Phosphorylated DNA-binding transcriptional dual regulator ArcA
kdsA	b1215	1268165	1269019	kdsA // ychQA-kdsA	EG10518	kdsAp // ychQp			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor GlaR // DNA-binding transcriptional dual regulator Nac	
uvrY	b1914	1994703	1995359	uvrYC	EG11140	uvrYp2	LexA DNA-binding-site 129.5 bases upstream of uvrYp2	DNA-binding transcriptional repressor LexA	RNA polymerase, sigma 70 (sigma D) factor // ATP-dependent RNA helicase DeaD // DNA-binding transcriptional repressor LexA // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional repressor LexA
sgcB	b4565	4530255	4530533	sgcXBCQAER	G0-10241		CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating sgcXBCQAER // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641) // SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8639)	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator SlyA
ygjJ	b3079	3227801	3228871	ygjJK	G7598					
waaL	b3622	3796948	3798207	rfaDFCL // rfaDFCL // rfaDFCL // rfaDFCL	EG11424	rfaDp4 // rfaDp2 // rfaDp1 // rfaDp3			RNA polymerase sigma E factor // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor	
sodB	b1656	1735378	1735959	sodB	EG10954	sodBp	NsrR DNA-binding-site 37 bases upstream of sodBp // IHF DNA-binding-site 61 bases upstream of sodBp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 64.5 bases downstream of sodBp	small regulatory RNA FnrS // small regulatory RNA RyhB // DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // small regulatory RNA FnrS // small regulatory RNA RyhB // DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator	DNA-binding transcriptional dual regulator NsrR // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator
srlR	b2707	2829047	2829820	srlR // srlAEBD-gutM-srlR-gutQ	EG10974	srlRp // srlAp	 // H-NS DNA-binding-site regulating srlAp // SrlR DNA-binding-site regulating srlAp // GutM DNA-binding-site regulating srlAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of srlAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 342 bases upstream of srlAp	 // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor SrlR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor SrlR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor SrlR // DNA-binding transcriptional activator GutM // CRP-cAMP DNA-binding transcriptional dual regulator
yqeB	b2875	3012614	3014239	yqeB	G7494				DNA-binding transcriptional dual regulator Nac	
pinE	b1158	1209685	1210239	pinE	EG10737					
mhpT	b0353	375459	376670	mhpT	G6206	mhpTp	NsrR DNA-binding-site 484 bases upstream of mhpTp	DNA-binding transcriptional dual regulator NsrR	RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional dual regulator NsrR	DNA-binding transcriptional dual regulator NsrR
waaS	b3629	3804181	3805116	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11350	waaQp // rirAp			RNA polymerase, sigma 70 (sigma D) factor	
relB	b1564	1645633	1645872	relBE-hokD // relBE	EG10836	relBp // 	RelBE DNA-binding-site 13.5 bases downstream of relBp // RelBE DNA-binding-site 1.5 bases downstream of relBp // RelBE DNA-binding-site 28 bases downstream of relBp // RelBE DNA-binding-site 13.5 bases upstream of relBp // RelB DNA-binding-site 13.5 bases downstream of relBp // RelB DNA-binding-site 1.5 bases downstream of relBp // 	RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB // 	RNA polymerase, sigma 70 (sigma D) factor // RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor // Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
frwC	b3949	4142530	4143609	frwCB	EG11908					
ygcG	b2778	2905711	2906583	ygcG	G7444					
waaG	b3631	3805943	3807067	rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11339	waaQp // rirAp			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Nac	
rcnB	b2107	2186960	2187298	rcnAB // rcnB	G7139	rcnAp // 	DNA-binding transcriptional dual regulator Fur DNA-binding-site 87 bases downstream of rcnAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 81 bases downstream of rcnAp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 78 bases downstream of rcnAp // RcnR DNA-binding-site 51.5 bases downstream of rcnRp // RcnR DNA-binding-site 31.5 bases downstream of rcnRp // 	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor RcnR // 	RNA polymerase, sigma 70 (sigma D) factor // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor RcnR	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor RcnR
narL	b1221	1275179	1275829	narXL	EG10643	narXp	Fnr DNA-binding-site 107.5 bases downstream of narXp // Fnr DNA-binding-site 106.5 bases upstream of narXp // Fnr DNA-binding-site 75 bases upstream of narXp // ModE-MoO42- DNA-binding-site 141.5 bases upstream of narXp	ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 70 (sigma D) factor // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR // ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator
yfgG	b2504	2629290	2629481	yfgG	G7315	yfgGp			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Nac	
yfdT	b2363	2475873	2476178	yfdRST	G7232					
exuT	b3093	3245224	3246522	exuT // exuT	EG12738	exuTp1 // exuTp2	DpiA-Pasp57 DNA-binding-site regulating exuTp1 // DpiA-Pasp57 DNA-binding-site regulating exuTp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 161.5 bases upstream of exuTp2 // ExuR DNA-binding-site 1.5 bases upstream of uxaCp2 // ExuR DNA-binding-site 127.5 bases upstream of uxaCp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 105.5 bases upstream of uxaCp2	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor ExuR	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor ExuR // DNA-binding transcriptional dual regulator Nac	P<sup>asp</sup> DNA-binding transcriptional dual regulator DpiA // DNA-binding transcriptional repressor ExuR // CRP-cAMP DNA-binding transcriptional dual regulator
hldE	b3052	3195320	3196753	hldE	G7590					
zraR	b4004	4203320	4204645	zraSR	EG10482	zraSp	ZraR-Pasp56 DNA-binding-site 115 bases upstream of zraSp // ZraR-Pasp56 DNA-binding-site 86 bases upstream of zraSp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 223.5 bases upstream of zraSp	Phosphorylated DNA-binding transcriptional activator ZraR // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 54 (sigma N) factor // Phosphorylated DNA-binding transcriptional activator ZraR // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor GlaR	Phosphorylated DNA-binding transcriptional activator ZraR // CRP-cAMP DNA-binding transcriptional dual regulator
malX	b1621	1699355	1700947	malXY	EG10563	malXp	MalI DNA-binding-site 16.5 bases upstream of malXp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of malXp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 17.5 bases downstream of malIp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor MalI	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor MalI	DNA-binding transcriptional repressor MalI // CRP-cAMP DNA-binding transcriptional dual regulator
yfaQ	b2226	2328148	2329797	yfaATSQP	G7153					
waaF	b3620	3794929	3795975	rfaDFCL // rfaDFCL // rfaDFCL // rfaDFCL	EG12210	rfaDp4 // rfaDp2 // rfaDp1 // rfaDp3			DNA-binding transcriptional dual regulator Nac // RNA polymerase sigma E factor // RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 32 (sigma H) factor	
paoA	b0286	301884	302573	paoABCD	G6157					
fucR	b2805	2939368	2940099	fucR // fucPIKUR	EG10353	fucRp // fucPp	 // DNA-binding transcriptional activator FucR DNA-binding-site regulating fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of fucPp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 80.5 bases upstream of fucPp	 // FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator // CRP-cAMP DNA-binding transcriptional dual regulator
yecH	b1906	1989251	1989490	yecH	G7036					
yeeW	b2006	2077940	2078134	yeeRST-cbeA-cbtA-yeeW	G7086					
mdtK	b1663	1743457	1744830	mdtK	EG12400					
kdsB	b0918	970852	971598	ycaR-kdsB	EG10519	ycaRp			RNA polymerase, sigma 70 (sigma D) factor	
cysB	b1275	1333855	1334829	cysB	EG10184	cysBp	PhoP-Pasp51 DNA-binding-site 43 bases upstream of cysBp // CysB DNA-binding-site 14 bases upstream of cysBp	Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator CysB	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator CysB // DNA-binding transcriptional dual regulator Lrp	Phosphorylated DNA-binding transcriptional dual regulator PhoP // DNA-binding transcriptional dual regulator CysB
agaB	b3138	3284170	3284646	agaSYBCDI	EG12769	agaSp	AgaR DNA-binding-site 22.5 bases downstream of agaSp // AgaR DNA-binding-site 21.5 bases upstream of agaSp // AgaR DNA-binding-site 52.5 bases upstream of agaSp // AgaR DNA-binding-site 94.5 bases upstream of agaSp // AgaR DNA-binding-site 211.5 bases upstream of agaSp // AgaR DNA-binding-site 274.5 bases upstream of agaSp	DNA-binding transcriptional repressor AgaR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor AgaR	DNA-binding transcriptional repressor AgaR
yjfJ	b4182	4410553	4411251	yjfIJ	G7847					
waaY	b3625	3800267	3800965	rfaYZ // rfaQGPSBIJYZ-waaU // rirA-rfaQGPSBIJYZ-waaU	EG11425	waaYp // waaQp // rirAp	MarA DNA-binding-site 43 bases upstream of waaYp // SoxS DNA-binding-site 42.5 bases upstream of waaYp // 	DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS // 	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS	DNA-binding transcriptional dual regulator MarA // DNA-binding transcriptional dual regulator SoxS
dtd	b3887	4077015	4077452	yihXY-dtd-fabY	EG11852	yihXp				
cpxR	b3912	4104972	4105670	cpxRA // cpxRA	EG10020	cpxRp2 // cpxRp	CpxR response regulator - phosphorylated DNA-binding-site 67 bases upstream of cpxRp2 // CpxR response regulator - phosphorylated DNA-binding-site 47 bases upstream of cpxRp2	Phosphorylated DNA-binding transcriptional dual regulator CpxR // small regulatory RNA MicF	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // Phosphorylated DNA-binding transcriptional dual regulator CpxR // small regulatory RNA MicF	Phosphorylated DNA-binding transcriptional dual regulator CpxR
ydjY	b1751	1834116	1834793	ydjXYZ-ynjABCD	G6946					
essQ	b1556	1640370	1640585	essQ-ydfR-rrrQ-rzpQ	G6829					
